site,published_at,title,authors,preamble,link
Aftonbladet Debatt,2026-07-10T06:30+02:00,Byggandet har tvärnitat – studenterna drabbas,"Mikael Damberg (S), ekonomisk-politisk talesperson; Elfva Barrio, förbundsordförande S-studenter",Byggandet har tvärnitat – studenterna drabbas,https://www.aftonbladet.se/debatt/a/7pBqzo/ingen-ska-behova-tacka-nej-till-studier-for-att-bostad-saknas
Aftonbladet Debatt,2026-07-10T12:00+02:00,För Sverige i tiden – låt oss införa gladiatorspel,"Martin Skoog, skribent",För Sverige i tiden – låt oss införa gladiatorspel,https://www.aftonbladet.se/debatt/a/k0dQ46/for-sverige-i-tiden-lat-oss-infora-gladiatorspel
Aftonbladet Debatt,2026-07-10T15:30+02:00,Förstår ministrarna vad som egentligen pågår?,"Amani Awad, ST-läkare, Malmö; Ana Sarmiento Sanchez, ST-läkare Allmänmedicin, Malmö; Anna Fredland, ST-läkare barnmedicin, Skåne; Anna Karlsson, ST-läkare barn- och ungdomsmedicin, Malmö; Annika M Forsberg, läkare, palliativa enheten, Malmö; Azhar Sugawi, ST- läkare, allmänmedicin, Avesta; Cordelia Penman, ST-läkare i klinisk mikrobiologi, Lund; Dania Al-Sharify, ST-läkare, Malmö; Gert Andersson, docent, överläkare, Lund; Helena Thiman, läkare gynekologi & obstetrik, Kristianstad; Lina Myritz, ST-läkare anestesi och intensivvård, Helsingborg; Linnea Rusek, läkare, Mora; Mariam Vazdekis, ST läkare i barn- och ungdomsmedicin, Helsingborg; Miriam Lukasiak, specialistläkare akutsjukvård, ST-läkare anestesi/intensivvård, Helsingborg; Ranya Ramahi, leg. läkare/ST-läkare, Kristianstad; Sergio Padoan, läkare (pensionerad ÖL. och chefsläkare ÖNH-spec. med dr, Malmö; Daniel Möller, författare, Malmö; Karin Norman, professor emerita, Stockholm; Rebecca Sunnerås Jonsson, lärare, Malmö",Förstår ministrarna vad som egentligen pågår?,https://www.aftonbladet.se/debatt/a/GxO67Q/forstar-ministrarna-vad-som-egentligen-pagar
DN Debatt,2026-07-09T20:00+02:00,”Ska PFAS-drabbade aldrig kunna få ersättning?”,"Mattias Öberg, docent i toxikologi vid Karolinska institutet","DN Debatt. Blottlägger en grundläggande svaghet i vårt rättssystem, skriver Mattias Öberg, docent i toxikologi.",https://www.dn.se/debatt/ska-pfas-drabbade-aldrig-kunna-fa-ersattning/
Dagens industri Debatt,2026-07-10T08:00+02:00,Replik: Vi har inte råd med en rödgrön regering,"Ulf Kristersson (M), partiledare Elisabeth Svantesson (M), vice partiordförande Gunnar Strömmer (M); Elisabeth Svantesson; Gunnar Strömmer","Om 65 dagar är det val i Sverige. Men det är också ett vägval om Sveriges framtid. Om vi ska fortsätta bygga ett land känt för framgångsrikt företagande, innovation och hårt arbete – eller riskera att återvända till en tid då dödligt gängvåld plågade vårt samhälle och präglade bilden av Sverige utomlands, skriver Ulf Kristersson (M) partiledare, Elisabeth Svantesson (M), vice partiordförande och Gunnar Strömmer (M)",https://www.di.se/debatt/replik-vi-har-inte-rad-med-en-rodgron-regering/
Expressen Debatt,2026-07-09T19:00+02:00,DEBATT: Vallöften räcker inte mot våldet,"Teresa Carvalho (S), rättspolitisk talesperson","Socialdemokraterna välkomnar att Moderaterna föreslår ny politik mot mäns våld mot kvinnor. Samtidigt vill (S) gå längre. Vi vill fördubbla prövotiden efter fängelsestraff, skriver partiets rättspolitiska talesperson Teresa Carvalho. Teresa Carvalho (S) är rättspolitisk talesperson.",https://www.expressen.se/debatt/debatt-valloften-racker-inte-mot-valdet/
Expressen Debatt,2026-07-10T05:00+02:00,DEBATT: V vill höja inkomstpensionen med 2 000 kronor,Nooshi Dadgostar,"Anette, 76, är en av många svenskar som inte får ekonomin att gå ihop. För att stärka tryggheten och värdigheten för de som byggt vårt land går Vänsterpartiet till val på att höja inkomstpensionen med 2 000 kronor, skriver partiledaren Nooshi Dadgostar (V). ”Att arbeta ska löna sig, inte bara under de yrkesverksamma åren utan också efter pension”, skriver Nooshi Dadgostar.",https://www.expressen.se/debatt/debatt-v-vill-hoja-inkomstpensionen-med-2-000-kronor/
Expressen Debatt,2026-07-10T11:03+02:00,DEBATT: Man kan vara politiker och ha en personlighet,"Sarah Kullgren, förbundsordförande för Kristdemokratiska kvinnoförbundet (KD-K)","Linn Svansbo har fel om Ebba Busch (KD). Det är inte en motsättning att bedriva politik och samtidigt bjuda på sig själv, skriver Sarah Kullgren, ordförande för Kristdemokraternas kvinnoförbund. ”Det är svårt att ta Linn Svansbos önskan på allvar, med tanke på de reformer som föreslagits under Busch ledarskap”, skriver Sarah Kullgren (KD).",https://www.expressen.se/debatt/debatt-man-kan-vara-politiker-och-ha-en-personlighet/
Expressen Debatt,2026-07-10T15:32+02:00,DEBATT: KD borde tacka oss,"Aida Hadžialić, gruppledare för Socialdemokraterna i Region Stockholm","Sjukvårdsminister Elisabet Lann (KD) tycker att Socialdemokraterna borde ansluta sig till Kristdemokraternas politik. I själva verket är det vår förtjänst att hon kan glädjas åt framstegen i sjukvården, skriver Aida Hadžialić (S). Aida Hadžialić är gruppledare för Socialdemokraterna i Region Stockholm.",https://www.expressen.se/debatt/debatt-kd-borde-tacka-oss/
GP Debatt,2026-07-10T04:55+02:00,Varför får jag inte ta min dotter till osteopaten?,Beni Köhler,När jag upptäckte att en osteopat i Sverige enligt lag inte får behandla barn under åtta år blev jag först förvånad. Sedan blev jag uppriktigt bekymrad. Varför litar Sverige så lite på sina medborgare? skriver Beni Köhler.,https://www.gp.se/debatt/varfor-far-jag-inte-ta-min-dotter-till-osteopaten.1de02f86-0aef-44ee-8d67-a05b1b087691
GP Debatt,2026-07-10T05:00+02:00,Fler färjor löser inte trafikkaoset på väg 155,"Gunnar Riegertz, broförespråkare. Vice ordförande (SD) i teknik- och servicenämnden i Bollebygds kommun. Skriver här som privatperson","Väg 155 är belastad för att hela trafiksystemet är byggt kring färjornas begränsningar. Lösningen är inte fler färjor. Det som behövs är en broförbindelse mellan Öckerö, Björkö och fastlandet, skriver Gunnar Riegertz.",https://www.gp.se/debatt/fler-farjor-loser-inte-trafikkaoset-pa-vag-155.0ab5e966-9a06-4c87-aced-9ad9dbf5f39b
SvD Debatt,2026-07-09T19:45+02:00,Göran Härdelin: En stor paradox är inbyggd i vården,"Göran Härdelin, ST-läkare","DEBATT. Sverige har en högspecialiserad vård i världsklass, men ingen som äger helheten för vanliga människor. Det är ett organisatoriskt misslyckande, skriver Göran Härdelin, ST-läkare.",https://www.svd.se/a/Okzjdw/goran-hardelin-en-stor-paradox-ar-inbyggd-ivarden
SvD Debatt,2026-07-10T07:30+02:00,Arvin Khoshnood: Ambassaden i Sverige bas för Irans spionage,Arvin Khoshnood,"DEBATT. En färsk dom från Solna tingsrätt visar hur den islamiska republiken Iran bedriver underrättelse­verksamhet på svensk mark. Den borde bli en väckarklocka för regeringen, skriver Arvin Khoshnood.",https://www.svd.se/a/Wv8kwj/arvin-khoshnood-ambassaden-i-sverige-bas-for-irans-spionage
SvD Debatt,2026-07-10T11:02+02:00,ST: Otydlig dom kring rebellmamman,"Britta Lejon, ordförande för Fackförbundet ST","DEBATT. Vi överklagar nu domen i målet med rebellmamman. Vi måste ha en tydlig praxis för vad som anses vara en säkerhetsrisk och inte när det gäller statliga anställningar, skriver företrädare för Fackförbundet ST.",https://www.svd.se/a/BxwwoG/st-otydlig-dom-kring-rebellmamman
Sydsvenskan Opinion,2026-07-10T05:30+02:00,”Vad vill SD när det gäller forskning och utbildning?”,företrädare för Sveriges unga akademi,"Väljarna har all anledning att undra hur Sverigedemokraterna tänker sig att ökad akademisk frihet ska förenas med ökat politiskt inflytande över universitet och högskolor, skriver företrädare för Sveriges unga akademi.",https://www.sydsvenskan.se/opinion/vad-vill-sd-nar-det-galler-forskning-och-utbildning/
